promo_id,article_no,store_id,start_date,end_date,offer_type,discount_pct,promo_channel,has_endcap,on_promo_bay,brand,category,sub_category
YTJXEP,200124,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,True,BISBrand09B,Snacks,Biscuits
Q85JSG,200125,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,True,BISBrand09B,Snacks,Biscuits
65KXVF,200126,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,True,BISBrand09B,Snacks,Biscuits
1T2TAL,200067,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,True,BISBrand01B,Snacks,Biscuits
A753LC,200068,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,True,BISBrand01B,Snacks,Biscuits
58DRC1,200069,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,True,BISBrand01B,Snacks,Biscuits
1ERTJ5,200070,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,True,BISBrand01B,Snacks,Biscuits
PHT0HL,200071,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,True,BISBrand01B,Snacks,Biscuits
9XPSEI,200072,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,True,BISBrand01B,Snacks,Biscuits
MVIHCW,200161,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,NUTBrand04N,Snacks,Nuts
I64CIY,200162,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,NUTBrand04N,Snacks,Nuts
HE7UR2,200163,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,NUTBrand04N,Snacks,Nuts
3GDPPQ,200164,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,NUTBrand04N,Snacks,Nuts
0Y9DOM,200148,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,NUTBrand01N,Snacks,Nuts
5IGQPK,200149,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,NUTBrand01N,Snacks,Nuts
I7P5TB,200150,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,NUTBrand01N,Snacks,Nuts
94874F,200151,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,NUTBrand01N,Snacks,Nuts
RHOCN9,200188,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHOBrand04C,Confectionery,Chocolate
J2QP89,200189,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHOBrand04C,Confectionery,Chocolate
UZFK8U,200190,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHOBrand04C,Confectionery,Chocolate
T0CVS4,200191,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHOBrand04C,Confectionery,Chocolate
F8CGVY,200192,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHOBrand04C,Confectionery,Chocolate
IE6IVW,200193,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHOBrand04C,Confectionery,Chocolate
PVS7HZ,200194,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHOBrand04C,Confectionery,Chocolate
IOYKL1,200201,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHOBrand06C,Confectionery,Chocolate
CQ99CH,200202,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHOBrand06C,Confectionery,Chocolate
J755NF,200203,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHOBrand06C,Confectionery,Chocolate
4ZW9XA,200204,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHOBrand06C,Confectionery,Chocolate
3KX7EE,200205,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHOBrand06C,Confectionery,Chocolate
DTJVZH,200206,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHOBrand06C,Confectionery,Chocolate
WJR64D,200291,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,LOLBrand10L,Confectionery,Lollies
PJA1WJ,200292,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,LOLBrand10L,Confectionery,Lollies
0TPAC5,200293,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,LOLBrand10L,Confectionery,Lollies
6T4UFE,200294,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,LOLBrand10L,Confectionery,Lollies
L6246H,200295,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,LOLBrand10L,Confectionery,Lollies
ID25OW,200296,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,LOLBrand10L,Confectionery,Lollies
F75935,200297,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LOLBrand11L,Confectionery,Lollies
A0L725,200298,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LOLBrand11L,Confectionery,Lollies
3J2D54,200299,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LOLBrand11L,Confectionery,Lollies
I3QK2I,200300,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LOLBrand11L,Confectionery,Lollies
AGL58K,200301,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LOLBrand11L,Confectionery,Lollies
XO9T7E,200302,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LOLBrand11L,Confectionery,Lollies
8G8JDP,200303,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LOLBrand11L,Confectionery,Lollies
0LVSNU,200323,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,SOFBrand04D,Beverages,Soft Drinks
JZA7TZ,200324,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,SOFBrand04D,Beverages,Soft Drinks
0YNCXL,200325,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,SOFBrand04D,Beverages,Soft Drinks
L4ZKLO,200326,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,SOFBrand04D,Beverages,Soft Drinks
OKEP7Y,200327,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,SOFBrand04D,Beverages,Soft Drinks
6WKTAK,200328,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,SOFBrand04D,Beverages,Soft Drinks
PUXQPH,200304,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,SOFBrand01D,Beverages,Soft Drinks
R62GDS,200305,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,SOFBrand01D,Beverages,Soft Drinks
WM31YI,200306,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,SOFBrand01D,Beverages,Soft Drinks
HAIR4C,200307,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,SOFBrand01D,Beverages,Soft Drinks
OWGZRI,200308,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,SOFBrand01D,Beverages,Soft Drinks
XA11DP,200309,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,SOFBrand01D,Beverages,Soft Drinks
G8SBI4,200310,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,SOFBrand01D,Beverages,Soft Drinks
Q2Y9V8,200329,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,JUIBrand01J,Beverages,Juice
6WZS3T,200330,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,JUIBrand01J,Beverages,Juice
60RJIW,200331,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,JUIBrand01J,Beverages,Juice
1SWJCK,200332,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,JUIBrand01J,Beverages,Juice
JLTEIY,200333,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,JUIBrand01J,Beverages,Juice
ZCOTOH,200334,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,JUIBrand01J,Beverages,Juice
P6VZ41,200335,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,JUIBrand02J,Beverages,Juice
NAM148,200336,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,JUIBrand02J,Beverages,Juice
P0TVHH,200337,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,JUIBrand02J,Beverages,Juice
PBMYOF,200338,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,JUIBrand02J,Beverages,Juice
QEWAOU,200339,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,JUIBrand02J,Beverages,Juice
AXEQBN,200340,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,JUIBrand02J,Beverages,Juice
HL1N13,200406,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,YOGBrand05Y,Dairy,Yoghurt
JCAT9M,200407,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,YOGBrand05Y,Dairy,Yoghurt
X2X18H,200408,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,YOGBrand05Y,Dairy,Yoghurt
AFEYUH,200409,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,YOGBrand05Y,Dairy,Yoghurt
Z1GV0E,200401,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,YOGBrand04Y,Dairy,Yoghurt
38DALY,200402,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,YOGBrand04Y,Dairy,Yoghurt
8OZCYW,200403,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,YOGBrand04Y,Dairy,Yoghurt
D14VE9,200404,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,YOGBrand04Y,Dairy,Yoghurt
2MPNSM,200405,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,YOGBrand04Y,Dairy,Yoghurt
43D8W3,200421,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CHEBrand03C,Dairy,Cheese
ZP08J3,200422,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CHEBrand03C,Dairy,Cheese
TRP0J4,200423,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CHEBrand03C,Dairy,Cheese
3D5IQV,200424,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CHEBrand03C,Dairy,Cheese
NB4GH2,200435,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHEBrand07C,Dairy,Cheese
M5ZJA8,200436,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHEBrand07C,Dairy,Cheese
DZR1YX,200437,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHEBrand07C,Dairy,Cheese
R2DHYL,200438,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,CHEBrand07C,Dairy,Cheese
URTP0L,200446,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DIPBrand03D,Dairy,Dips
ZJJEGE,200447,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DIPBrand03D,Dairy,Dips
T1GHR0,200448,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DIPBrand03D,Dairy,Dips
9SKDGI,200439,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DIPBrand01D,Dairy,Dips
GATJ9T,200440,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DIPBrand01D,Dairy,Dips
ZE5R5U,200441,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DIPBrand01D,Dairy,Dips
QPGB7R,200442,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DIPBrand01D,Dairy,Dips
3OCWBF,200531,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,SOABrand04S,Toiletries,Soaps
UK9E1V,200532,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,SOABrand04S,Toiletries,Soaps
2ISQP4,200533,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,SOABrand04S,Toiletries,Soaps
9KWV08,200525,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,SOABrand02S,Toiletries,Soaps
HHXFGC,200526,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,SOABrand02S,Toiletries,Soaps
AQVKIZ,200527,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,SOABrand02S,Toiletries,Soaps
ZQY72W,200543,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,TOOBrand04T,Toiletries,Toothpaste
X7PTX6,200544,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,TOOBrand04T,Toiletries,Toothpaste
3CFL0U,200545,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,TOOBrand04T,Toiletries,Toothpaste
KEYZ7S,200537,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,TOOBrand02T,Toiletries,Toothpaste
RCBPLJ,200538,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,TOOBrand02T,Toiletries,Toothpaste
D84U89,200539,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,TOOBrand02T,Toiletries,Toothpaste
YJB1QX,200552,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DEOBrand02D,Toiletries,Deodorant
6GVWRD,200553,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DEOBrand02D,Toiletries,Deodorant
MLY4LY,200554,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DEOBrand02D,Toiletries,Deodorant
K83TQL,200555,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DEOBrand02D,Toiletries,Deodorant
L8OS9X,200556,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DEOBrand03D,Toiletries,Deodorant
TOGN1W,200557,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DEOBrand03D,Toiletries,Deodorant
1HT7PZ,200558,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DEOBrand03D,Toiletries,Deodorant
E9VIFT,200559,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DEOBrand03D,Toiletries,Deodorant
TD96QE,200577,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,BODBrand03W,Toiletries,Body Wash
3RZSJ4,200578,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,BODBrand03W,Toiletries,Body Wash
9ITN7S,200579,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,BODBrand03W,Toiletries,Body Wash
55J2O7,200580,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,BODBrand03W,Toiletries,Body Wash
S3KKV9,200584,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,BODBrand05W,Toiletries,Body Wash
RFTMTT,200585,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,BODBrand05W,Toiletries,Body Wash
QLGZUI,200586,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,BODBrand05W,Toiletries,Body Wash
1B0Z3N,200587,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,BODBrand05W,Toiletries,Body Wash
X39RBS,200598,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,HANBrand02W,Toiletries,Hand Wash
V55PSQ,200599,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,HANBrand02W,Toiletries,Hand Wash
0OXFQ8,200600,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,HANBrand02W,Toiletries,Hand Wash
MYX444,200601,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,HANBrand02W,Toiletries,Hand Wash
NLZ15B,200612,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,HANBrand06W,Toiletries,Hand Wash
CW790P,200613,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,HANBrand06W,Toiletries,Hand Wash
DW5PY6,200614,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,HANBrand06W,Toiletries,Hand Wash
B2KNFT,200630,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DISBrand05L,Cleaning,Dishwashing liquid
U2GC5W,200631,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DISBrand05L,Cleaning,Dishwashing liquid
I6FQJJ,200632,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DISBrand05L,Cleaning,Dishwashing liquid
A26YFP,200633,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,DISBrand05L,Cleaning,Dishwashing liquid
MVXPJ4,200615,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DISBrand01L,Cleaning,Dishwashing liquid
HNRIUU,200616,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DISBrand01L,Cleaning,Dishwashing liquid
9K9XJU,200617,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DISBrand01L,Cleaning,Dishwashing liquid
Y0BVR6,200618,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,DISBrand01L,Cleaning,Dishwashing liquid
K2VMWW,200634,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,DISBrand01T,Cleaning,Dishwashing tablet
YZX4W6,200635,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,DISBrand01T,Cleaning,Dishwashing tablet
XLPU0D,200636,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,DISBrand01T,Cleaning,Dishwashing tablet
K0GET8,200645,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,DISBrand04T,Cleaning,Dishwashing tablet
T63J3R,200646,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,DISBrand04T,Cleaning,Dishwashing tablet
30ME8F,200647,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,DISBrand04T,Cleaning,Dishwashing tablet
840982,200677,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LAUBrand07D,Cleaning,Laundry detergent
N2ATQY,200678,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LAUBrand07D,Cleaning,Laundry detergent
YV37DI,200679,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LAUBrand07D,Cleaning,Laundry detergent
A5U6HC,200680,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LAUBrand07D,Cleaning,Laundry detergent
36KOF8,200663,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LAUBrand03D,Cleaning,Laundry detergent
KRD5EQ,200664,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LAUBrand03D,Cleaning,Laundry detergent
Y08P0F,200665,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LAUBrand03D,Cleaning,Laundry detergent
ODRO8B,200666,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,LAUBrand03D,Cleaning,Laundry detergent
NP84DY,200687,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CERBrand02C,Breakfast,Cereals
T9MOGE,200688,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CERBrand02C,Breakfast,Cereals
4QXXVA,200689,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CERBrand02C,Breakfast,Cereals
2IEUC1,200690,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CERBrand02C,Breakfast,Cereals
HH5LF6,200691,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CERBrand02C,Breakfast,Cereals
A4FEJG,200692,S001,2024-06-05,2024-06-11,Half Price,50.0,Catalog,True,True,CERBrand02C,Breakfast,Cereals
XAA2IL,200729,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,CERBrand10C,Breakfast,Cereals
GB0S0R,200730,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,CERBrand10C,Breakfast,Cereals
2SDS8B,200731,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,CERBrand10C,Breakfast,Cereals
25SQ8C,200732,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,CERBrand10C,Breakfast,Cereals
ROYR6C,200733,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,CERBrand10C,Breakfast,Cereals
CVCJWT,200734,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,CERBrand10C,Breakfast,Cereals
L9TQVD,200748,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,OATBrand05O,Breakfast,Oats
Z4X1ZH,200749,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,OATBrand05O,Breakfast,Oats
QIMQOD,200750,S001,2024-06-05,2024-06-11,25% Off,25.0,Catalog,False,False,OATBrand05O,Breakfast,Oats
PXNF7C,200751,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,OATBrand06O,Breakfast,Oats
3DD03U,200752,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,OATBrand06O,Breakfast,Oats
VULEMX,200753,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,OATBrand06O,Breakfast,Oats
15Z8VM,200754,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,False,OATBrand06O,Breakfast,Oats
UHXID4,200040,S001,2024-06-12,2024-06-18,Half Price,50.0,Catalog,True,True,CHIBrand07C,Snacks,Chips
N1U349,200041,S001,2024-06-12,2024-06-18,Half Price,50.0,Catalog,True,True,CHIBrand07C,Snacks,Chips
3WXA73,200042,S001,2024-06-12,2024-06-18,Half Price,50.0,Catalog,True,True,CHIBrand07C,Snacks,Chips
JGZLMA,200043,S001,2024-06-12,2024-06-18,Half Price,50.0,Catalog,True,True,CHIBrand07C,Snacks,Chips
5UOFWB,200044,S001,2024-06-12,2024-06-18,Half Price,50.0,Catalog,True,True,CHIBrand07C,Snacks,Chips
0HPMNZ,200045,S001,2024-06-12,2024-06-18,Half Price,50.0,Catalog,True,True,CHIBrand07C,Snacks,Chips
1UDBFW,200046,S001,2024-06-12,2024-06-18,Half Price,50.0,Catalog,True,True,CHIBrand07C,Snacks,Chips
YJXRPJ,200013,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,CHIBrand03C,Snacks,Chips
1EPKYR,200014,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,CHIBrand03C,Snacks,Chips
YBOVAK,200015,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,CHIBrand03C,Snacks,Chips
HEJLA0,200016,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,CHIBrand03C,Snacks,Chips
GNZS43,200017,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,CHIBrand03C,Snacks,Chips
C5BA75,200018,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,CHIBrand03C,Snacks,Chips
UUZPEA,200019,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,CHIBrand03C,Snacks,Chips
L2W37D,200141,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,BISBrand12B,Snacks,Biscuits
4IVSOL,200142,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,BISBrand12B,Snacks,Biscuits
MLGSES,200143,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,BISBrand12B,Snacks,Biscuits
6M033I,200144,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,BISBrand12B,Snacks,Biscuits
FHV1XG,200145,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,BISBrand12B,Snacks,Biscuits
1R11Q7,200146,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,BISBrand12B,Snacks,Biscuits
UWW5WF,200147,S001,2024-06-12,2024-06-18,40% Off,40.0,Catalog,True,True,BISBrand12B,Snacks,Biscuits
CPKJCS,200113,S001,2024-06-12,2024-06-18,30% Off,30.0,Catalog,False,True,BISBrand08B,Snacks,Biscuits
LQC3C5,200114,S001,2024-06-12,2024-06-18,30% Off,30.0,Catalog,False,True,BISBrand08B,Snacks,Biscuits
4WSQT2,200115,S001,2024-06-12,2024-06-18,30% Off,30.0,Catalog,False,True,BISBrand08B,Snacks,Biscuits
6Q3XLR,200116,S001,2024-06-12,2024-06-18,30% Off,30.0,Catalog,False,True,BISBrand08B,Snacks,Biscuits
FCD6MZ,200117,S001,2024-06-12,2024-06-18,30% Off,30.0,Catalog,False,True,BISBrand08B,Snacks,Biscuits
SGIPPS,200118,S001,2024-06-12,2024-06-18,30% Off,30.0,Catalog,False,True,BISBrand08B,Snacks,Biscuits
FNKOMV,200119,S001,2024-06-12,2024-06-18,30% Off,30.0,Catalog,False,True,BISBrand08B,Snacks,Biscuits
2XCDYK,200156,S001,2024-06-12,2024-06-18,Half Price,50.0,Catalog,True,True,NUTBrand03N,Snacks,Nuts
